block,trial_number,auditory_stimulus,left_image,right_image,target_label,center_video,target_side,correct_response,playing_side,background,trial_type
1,1,AG_doing_great,,,,BouncyBalls,,,center,gray-background,T
1,2,PE_look1,,,,PE_C_manu,,,center,gray-background,T
1,3,PE_cool1,,,,PE_C_tever,,,center,gray-background,T
1,4,PE_wow1,,,,PE_C_manu,,,center,gray-background,T
1,5,PE_check1,,,,PE_C_tever,,,center,gray-background,T
1,6,LT_this_manu2,,,,LT_C_manu,,,center,gray-background,T
1,7,LT_here_tever1,,,,LT_C_tever,,,center,gray-background,T
1,8,LT_this_manu3,,,,LT_C_manu,,,center,gray-background,T
1,9,LT_here_tever2,,,,LT_C_tever,,,center,gray-background,T
2,10,AG_cool,,,,BouncyBalls,,,center,gray-background,T
2,11,PE_cool2,,,,PE_UC_wiso,,,center,gray-background,T
2,12,PE_wow2,,,,PE_UC_colat,,,center,gray-background,T
2,13,PE_check2,,,,PE_UC_wiso,,,center,gray-background,T
2,14,PE_look2,,,,PE_UC_colat,,,center,gray-background,T
2,15,LT_this_wiso1,,,,LT_UC_wiso,,,center,gray-background,T
2,16,LT_here_colat1,,,,LT_UC_colat,,,center,gray-background,T
2,17,LT_this_wiso2,,,,LT_UC_wiso,,,center,gray-background,T
2,18,LT_here_colat3,,,,LT_UC_colat,,,center,gray-background,T
3,19,AG_wow,,,,BouncyBalls,,,center,gray-background,T
3,20,PE_wow3,,,,PE_C_tever,,,center,gray-background,T
3,21,PE_check3,,,,PE_C_manu,,,center,gray-background,T
3,22,PE_look3,,,,PE_C_tever,,,center,gray-background,T
3,23,PE_cool3,,,,PE_C_manu,,,center,gray-background,T
3,24,LT_this_tever2,,,,LT_C_tever,,,center,gray-background,T
3,25,LT_here_manu2,,,,LT_C_manu,,,center,gray-background,T
3,26,LT_this_tever3,,,,LT_C_tever,,,center,gray-background,T
3,27,LT_here_manu3,,,,LT_C_manu,,,center,gray-background,T
4,28,AG_how_fun,,,,BouncyBalls,,,center,gray-background,T
4,29,PE_check1,,,,PE_UC_colat,,,center,gray-background,T
4,30,PE_look1,,,,PE_UC_wiso,,,center,gray-background,T
4,31,PE_cool1,,,,PE_UC_colat,,,center,gray-background,T
4,32,PE_wow1,,,,PE_UC_wiso,,,center,gray-background,T
4,33,LT_this_colat1,,,,LT_UC_colat,,,center,gray-background,T
4,34,LT_here_wiso1,,,,LT_UC_wiso,,,center,gray-background,T
4,35,LT_this_colat2,,,,LT_UC_colat,,,center,gray-background,T
4,36,LT_here_wiso2,,,,LT_UC_wiso,,,center,gray-background,T
5,37,AG_neat,,,,BouncyBalls,,,center,gray-background,T
5,38,where_ball,ball,apple,ball,,left,0,,gray-background,LWL
5,39,look_shoe,book,shoe,shoe,,right,1,,gray-background,LWL
5,40,AG_doing_great,,autumn-left,autumn-right,,,,,gray-background,LWL
5,41,see_manu,manu,tever,manu,,left,0,,gray-background,LWL
5,42,find_wiso,wiso,colat,wiso,,left,0,,gray-background,LWL
5,43,where_tever,manu,tever,tever,,right,1,,gray-background,LWL
5,44,look_colat,colat,wiso,colat,,left,0,,gray-background,LWL
5,45,AG_nice_listening,,fireworks-left,fireworks-right,,,,,gray-background,LWL
5,46,see_wiso,wiso,colat,wiso,,left,0,,gray-background,LWL
5,47,find_colat,colat,wiso,colat,,left,0,,gray-background,LWL
5,48,where_manu,tever,manu,manu,,right,1,,gray-background,LWL
5,49,look_tever,manu,tever,tever,,right,1,,gray-background,LWL
5,50,AG_doing_great,,mountain-left,mountain-right,,,,,gray-background,LWL
5,51,see_colat,wiso,colat,colat,,right,1,,gray-background,LWL
5,52,find_tever,tever,manu,tever,,left,0,,gray-background,LWL
5,53,look_manu,manu,tever,manu,,left,0,,gray-background,LWL
5,54,where_wiso,colat,wiso,wiso,,right,1,,gray-background,LWL
5,55,AG_almost_done,,ocean-left,ocean-right,,,,,gray-background,LWL
5,56,see_tever,tever,manu,tever,,left,0,,gray-background,LWL
5,57,find_manu,tever,manu,manu,,right,1,,gray-background,LWL
5,58,where_colat,wiso,colat,colat,,right,1,,gray-background,LWL
5,59,look_wiso,colat,wiso,wiso,,right,1,,gray-background,LWL
5,60,AG_great_job_done,,waterfall-left,waterfall-right,,,,,gray-background,LWL
