block,trial_number,auditory_stimulus,left_image,right_image,target_label,center_video,target_side,correct_response,playing_side,background,trial_type
1,1,silence,,,,BouncyBalls,,,center,gray-background,T
1,2,PE_look1,,,,PE_C_manu,,,center,gray-background,T
1,3,PE_cool1,,,,PE_C_tever,,,center,gray-background,T
1,4,LT_this_manu2,,,,LT_C_manu,,,center,gray-background,T
1,5,LT_here_tever1,,,,LT_C_tever,,,center,gray-background,T
1,6,LT_this_manu3,,,,LT_C_manu,,,center,gray-background,T
1,7,LT_here_tever2,,,,LT_C_tever,,,center,gray-background,T
2,8,silence,,,,Balloons,,,center,gray-background,T
2,9,PE_check2,,,,PE_UC_wiso,,,center,gray-background,T
2,10,PE_wow2,,,,PE_UC_colat,,,center,gray-background,T
2,11,LT_this_wiso1,,,,LT_UC_wiso,,,center,gray-background,T
2,12,LT_here_colat1,,,,LT_UC_colat,,,center,gray-background,T
2,13,LT_this_wiso2,,,,LT_UC_wiso,,,center,gray-background,T
2,14,LT_here_colat3,,,,LT_UC_colat,,,center,gray-background,T
3,15,silence,,,,BouncyBalls,,,center,gray-background,T
3,16,PE_wow3,,,,PE_C_tever,,,center,gray-background,T
3,17,PE_check3,,,,PE_C_manu,,,center,gray-background,T
3,18,LT_this_tever2,,,,LT_C_tever,,,center,gray-background,T
3,19,LT_here_manu2,,,,LT_C_manu,,,center,gray-background,T
4,20,silence,,,,Balloons,,,center,gray-background,T
4,21,PE_look3,,,,PE_UC_colat,,,center,gray-background,T
4,22,PE_cool3,,,,PE_UC_wiso,,,center,gray-background,T
4,23,LT_this_colat1,,,,LT_UC_colat,,,center,gray-background,T
4,24,LT_here_wiso1,,,,LT_UC_wiso,,,center,gray-background,T
5,25,silence,,,,BouncyBalls,,,center,gray-background,T
5,26,see_shoe,ball,shoe,shoe,,right,1,,gray-background,LWL
5,27,where_ball,ball,apple,ball,,left,0,,gray-background,LWL
5,28,look_shoe,book,shoe,shoe,,right,1,,gray-background,LWL
5,29,find_ball,shoe,ball,ball,,right,1,,gray-background,LWL
5,30,AG_great_job,autumn-left,autumn-right,,,,,,gray-background,LWL
5,31,see_manu,manu,tever,manu,,left,0,,gray-background,LWL
5,32,find_wiso,wiso,colat,wiso,,left,0,,gray-background,LWL
5,33,where_tever,manu,tever,tever,,right,1,,gray-background,LWL
5,34,look_colat,colat,wiso,colat,,left,0,,gray-background,LWL
5,35,AG_nice_listening,fireworks-left,fireworks-right,,,,,,gray-background,LWL
5,36,see_wiso,wiso,colat,wiso,,left,0,,gray-background,LWL
5,37,find_colat,colat,wiso,colat,,left,0,,gray-background,LWL
5,38,where_manu,tever,manu,manu,,right,1,,gray-background,LWL
5,39,look_tever,manu,tever,tever,,right,1,,gray-background,LWL
5,40,AG_doing_great,mountain-left,mountain-right,,,,,,gray-background,LWL
5,41,see_colat,wiso,colat,colat,,right,1,,gray-background,LWL
5,42,find_tever,tever,manu,tever,,left,0,,gray-background,LWL
5,43,look_manu,manu,tever,manu,,left,0,,gray-background,LWL
5,44,where_wiso,colat,wiso,wiso,,right,1,,gray-background,LWL
5,45,AG_almost_done,ocean-left,ocean-right,,,,,,gray-background,LWL
5,46,see_tever,tever,manu,tever,,left,0,,gray-background,LWL
5,47,find_manu,tever,manu,manu,,right,1,,gray-background,LWL
5,48,where_colat,wiso,colat,colat,,right,1,,gray-background,LWL
5,49,look_wiso,colat,wiso,wiso,,right,1,,gray-background,LWL
5,50,AG_great_job_done,waterfall-left,waterfall-right,,,,,,gray-background,LWL
